epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,49.066,2.82709,3.55916,3.57075,0.00217,0.48974,0.17584,0.06103,2.76885,3.82356,4.3699,0.000781033,0.000781033,0.000781033
17,52.0475,2.79394,3.70265,3.47558,0.00415,0.7159,0.05213,0.0148,2.49218,3.84148,3.93561,0.000759035,0.000759035,0.000759035
18,55.0299,2.80767,3.51874,3.48607,0.00333,0.64923,0.04532,0.01342,2.42299,3.71975,3.83482,0.000737037,0.000737037,0.000737037
19,58.1326,2.73796,3.4591,3.41424,0.00348,0.67026,0.05901,0.0179,2.51132,4.01625,3.80116,0.00071504,0.00071504,0.00071504
20,61.1429,2.8151,3.37929,3.43427,0.00443,0.80359,0.02725,0.00842,2.39838,3.98871,3.60191,0.000693042,0.000693042,0.000693042
21,64.1457,2.62947,3.35111,3.36168,0.00486,0.81128,0.02112,0.00675,2.4437,3.92865,3.68903,0.000671044,0.000671044,0.000671044
22,67.1258,2.58794,3.31715,3.30827,0.00271,0.59179,0.0121,0.00304,2.67143,3.78188,3.92141,0.000649046,0.000649046,0.000649046
23,70.0886,2.59578,3.35312,3.3035,0.85083,0.2,0.17538,0.07536,2.33526,3.81668,3.63042,0.000627048,0.000627048,0.000627048
24,73.0935,2.52632,3.25164,3.25278,0.65103,0.21665,0.22821,0.10119,2.12632,3.38901,3.46487,0.000605051,0.000605051,0.000605051
25,76.0462,2.52722,3.2673,3.2402,0.37433,0.325,0.22924,0.09339,2.12506,3.26375,3.45459,0.000583053,0.000583053,0.000583053
26,79.0267,2.53175,3.15931,3.14606,0.00465,0.71559,0.0537,0.02521,2.36472,3.4024,3.79043,0.000561055,0.000561055,0.000561055
27,82.0091,2.4861,3.18947,3.20503,0.0052,0.77692,0.07058,0.03319,2.18691,3.33821,3.64706,0.000539057,0.000539057,0.000539057
28,84.9758,2.46468,3.32067,3.14696,0.28201,0.36538,0.23666,0.09808,1.89214,2.87717,3.20192,0.000517059,0.000517059,0.000517059
29,87.9371,2.40126,3.08739,3.05772,0.91289,0.2,0.37448,0.12616,1.87737,2.84947,3.16554,0.000495062,0.000495062,0.000495062
30,90.9118,2.35685,3.11188,3.06111,0.52103,0.39572,0.43349,0.14601,1.84408,2.74893,2.96685,0.000473064,0.000473064,0.000473064
31,93.9241,2.36147,3.07209,3.04358,0.39305,0.53099,0.47332,0.18087,1.85599,2.97841,2.86475,0.000451066,0.000451066,0.000451066
32,96.9502,2.28604,3.07857,2.98393,0.85067,0.19543,0.31518,0.12723,2.0345,3.37977,2.97585,0.000429068,0.000429068,0.000429068
33,99.9303,2.307,2.98908,2.9739,0.65767,0.19282,0.26688,0.12417,2.02165,2.75915,2.94095,0.00040707,0.00040707,0.00040707
34,103.008,2.23801,3.11527,3.00287,0.45325,0.30811,0.27591,0.13345,1.94874,2.67182,3.02434,0.000385073,0.000385073,0.000385073
35,106.027,2.2808,2.92347,2.96759,0.42286,0.35232,0.3059,0.13565,1.96222,2.69787,3.03236,0.000363075,0.000363075,0.000363075
36,109.066,2.28223,3.07316,2.98289,0.54744,0.43207,0.42635,0.16974,1.86616,2.67468,2.91708,0.000341077,0.000341077,0.000341077
37,112.056,2.18542,2.99718,2.91335,0.50032,0.43658,0.39302,0.17896,1.81358,2.58818,2.82761,0.000319079,0.000319079,0.000319079
38,115.042,2.12848,2.84835,2.82164,0.51081,0.35171,0.35698,0.16637,1.77311,2.51804,2.72965,0.000297081,0.000297081,0.000297081
39,118.049,2.14081,2.89865,2.85753,0.5035,0.31981,0.36452,0.16758,1.74311,2.54686,2.73654,0.000275084,0.000275084,0.000275084
40,121.041,2.00356,2.75997,2.77615,0.38736,0.3649,0.32895,0.17205,1.66841,2.48836,2.7266,0.000253086,0.000253086,0.000253086
41,123.927,1.71122,3.23161,2.66694,0.42986,0.46651,0.36167,0.18477,1.64872,2.45005,2.69908,0.000231088,0.000231088,0.000231088
42,126.744,1.79721,3.19388,2.75527,0.61309,0.46906,0.5187,0.27594,1.65307,2.35276,2.67452,0.00020909,0.00020909,0.00020909
43,129.593,1.69329,3.07584,2.69983,0.74391,0.47235,0.55557,0.32377,1.60681,2.35528,2.61171,0.000187092,0.000187092,0.000187092
44,132.399,1.65738,2.95318,2.67203,0.69256,0.48731,0.54507,0.3309,1.61322,2.3614,2.6008,0.000165095,0.000165095,0.000165095
45,135.205,1.70302,2.99579,2.62008,0.67767,0.4875,0.54984,0.33618,1.60461,2.33217,2.58071,0.000143097,0.000143097,0.000143097
46,138.014,1.61592,2.99854,2.61374,0.76561,0.49626,0.56485,0.34793,1.57991,2.25927,2.5523,0.000121099,0.000121099,0.000121099
47,140.823,1.65106,2.93428,2.603,0.76988,0.52719,0.58495,0.36363,1.54455,2.17195,2.52977,9.91012e-05,9.91012e-05,9.91012e-05
48,143.734,1.668,2.88996,2.63383,0.8736,0.41348,0.63024,0.3791,1.53573,2.14117,2.52332,7.71034e-05,7.71034e-05,7.71034e-05
49,146.533,1.62748,2.83809,2.62716,0.86283,0.42923,0.62228,0.37324,1.52945,2.12811,2.52277,5.51056e-05,5.51056e-05,5.51056e-05
50,149.335,1.63081,2.92885,2.62631,0.87266,0.42923,0.61895,0.37507,1.52441,2.13049,2.52279,3.31078e-05,3.31078e-05,3.31078e-05
