epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92165,3.07541,4.62513,4.24413,0.00179,0.47641,0.00344,0.00122,2.45267,3.95099,4.15865,6.666e-05,6.666e-05,6.666e-05
2,7.09887,2.88663,4.31527,4.21815,0.00198,0.48205,0.00271,0.00327,2.44799,3.94604,4.15568,0.00014157,0.00014157,0.00014157
3,10.1373,2.96347,4.21499,4.16796,0.00134,0.46308,0.00223,0.00107,2.44955,3.93196,4.14881,0.000213401,0.000213401,0.000213401
4,13.1476,2.96925,4.22915,4.15138,0.00232,0.48769,0.00217,0.0009,2.44651,3.91857,4.14028,0.000282152,0.000282152,0.000282152
5,16.1905,2.96511,4.16332,4.11013,0.00124,0.46667,0.0033,0.00153,2.44414,3.90298,4.12169,0.000347823,0.000347823,0.000347823
6,19.1826,2.94658,4.14099,4.08788,0.00125,0.46667,0.0021,0.00095,2.44138,3.88836,4.10267,0.000410415,0.000410415,0.000410415
7,22.1875,3.02947,4.09381,3.9963,0.00216,0.47436,0.00258,0.001,2.42827,3.86849,4.06857,0.000469926,0.000469926,0.000469926
8,25.1438,3.00426,3.95531,3.9238,0.00127,0.46667,0.00191,0.00084,2.41721,3.85959,4.04917,0.000526358,0.000526358,0.000526358
9,28.1102,3.05532,3.90373,3.87568,0.00125,0.46667,0.03498,0.00706,2.41313,3.8501,4.0211,0.000579711,0.000579711,0.000579711
10,31.1734,3.00039,3.90109,3.81856,0.00127,0.46667,0.01764,0.00395,2.3739,3.88558,4.03259,0.000629984,0.000629984,0.000629984
11,34.1734,2.8736,3.71847,3.71527,0.00125,0.46667,0.05273,0.01279,2.3664,3.81142,3.9382,0.000677177,0.000677177,0.000677177
12,37.162,2.84198,3.76748,3.67706,0.00118,0.36667,0.04035,0.0078,2.53202,3.739,3.94411,0.00072129,0.00072129,0.00072129
13,40.1299,2.8091,3.78236,3.63234,0.00127,0.46667,0.02136,0.00543,2.43116,3.78426,4.145,0.000762324,0.000762324,0.000762324
14,43.0951,2.77874,3.70792,3.61295,0.00352,0.48974,0.02821,0.00519,2.45237,3.72616,3.95528,0.000800278,0.000800278,0.000800278
15,46.0899,2.71677,3.63309,3.51912,0.00195,0.50308,0.03119,0.00587,2.50339,3.91385,4.02824,0.000803031,0.000803031,0.000803031
